,,0
139,time_received,11:00:00.5064
139,bids_change,"[['0', '0', '147']]"
139,timestamp,11:00:00.468000
140,time_received,11:00:00.5134
140,bids_change,"[['0.00001', '2125000', '148']]"
140,timestamp,11:00:00.475000
141,time_received,11:00:00.5290
141,bids_change,"[['0.0001', '71000', '149']]"
141,timestamp,11:00:00.491000
142,time_received,11:00:00.5307
142,bids_change,"[['0.025', '800', '150']]"
142,timestamp,11:00:00.493000
143,time_received,11:00:00.5689
143,bids_change,"[['0.0464', '4600', '151']]"
143,timestamp,11:00:00.527000
144,time_received,11:00:00.5728
144,bids_change,"[['0.0032', '15625', '152']]"
144,timestamp,11:00:00.534000
145,time_received,11:00:00.5742
145,bids_change,"[['0.1', '286382', '153']]"
145,timestamp,11:00:00.536000
146,time_received,11:00:00.5771
146,bids_change,"[['0.1', '266383', '154']]"
146,timestamp,11:00:00.539000
147,time_received,11:00:00.6069
147,bids_change,"[['0.1', '296382', '155']]"
147,timestamp,11:00:00.568000
148,time_received,11:00:00.6526
148,bids_change,"[['0', '0', '156']]"
148,timestamp,11:00:00.614000
149,time_received,11:00:00.6618
149,bids_change,"[['0', '0', '157']]"
149,timestamp,11:00:00.623000
150,time_received,11:00:01.0728
150,bids_change,"[['0.05', '887758', '158']]"
150,timestamp,11:00:01.035000
151,time_received,11:00:01.0730
151,bids_change,"[['0.06', '290366.7', '159']]"
151,timestamp,11:00:01.035000
152,time_received,11:00:01.0752
152,bids_change,"[['0.05', '897758', '160']]"
152,timestamp,11:00:01.037000
153,time_received,11:00:01.0766
153,bids_change,"[['0.065', '75000', '161']]"
153,timestamp,11:00:01.039000
154,time_received,11:00:01.3024
154,bids_change,"[['0.06', '282066.7', '162']]"
154,timestamp,11:00:01.264000
155,time_received,11:00:01.3052
155,bids_change,"[['0.06', '273766.7', '163']]"
155,timestamp,11:00:01.267000
156,time_received,11:00:01.3053
156,bids_change,"[['0.06', '265466.7', '164']]"
156,timestamp,11:00:01.267000
157,time_received,11:00:01.3068
157,bids_change,"[['0.05', '887758', '165']]"
157,timestamp,11:00:01.269000
158,time_received,11:00:01.3068
158,bids_change,"[['0.05', '877758', '166']]"
158,timestamp,11:00:01.269000
159,time_received,11:00:01.3069
159,bids_change,"[['0.065', '67500', '167']]"
159,timestamp,11:00:01.269000
160,time_received,11:00:01.3070
160,bids_change,"[['0.05', '867758', '168']]"
160,timestamp,11:00:01.269000
161,time_received,11:00:01.3083
161,bids_change,"[['0.05', '857758', '169']]"
161,timestamp,11:00:01.271000
162,time_received,11:00:01.3085
162,bids_change,"[['0.05', '847758', '170']]"
162,timestamp,11:00:01.271000
163,time_received,11:00:01.3147
163,bids_change,"[['0.06', '257166.7', '171']]"
163,timestamp,11:00:01.273000
164,time_received,11:00:01.3148
164,bids_change,"[['0.06', '248866.7', '172']]"
164,timestamp,11:00:01.274000
165,time_received,11:00:01.3149
165,bids_change,"[['0.05', '837758', '173']]"
165,timestamp,11:00:01.274000
166,time_received,11:00:01.3816
166,bids_change,"[['0.06', '240566.7', '174']]"
166,timestamp,11:00:01.343000
167,time_received,11:00:01.3824
167,bids_change,"[['0.065', '60000', '175']]"
167,timestamp,11:00:01.343000
168,time_received,11:00:01.3824
168,bids_change,"[['0.065', '52500', '176']]"
168,timestamp,11:00:01.343000
169,time_received,11:00:01.3825
169,bids_change,"[['0.06', '232266.7', '177']]"
169,timestamp,11:00:01.343000
170,time_received,11:00:01.3829
170,bids_change,"[['0.05', '827758', '178']]"
170,timestamp,11:00:01.344000
171,time_received,11:00:01.3829
171,bids_change,"[['0.07', '42000', '179']]"
171,timestamp,11:00:01.344000
172,time_received,11:00:01.3831
172,bids_change,"[['0.05', '817758', '180']]"
172,timestamp,11:00:01.344000
173,time_received,11:00:01.3832
173,bids_change,"[['0.05', '807758', '181']]"
173,timestamp,11:00:01.344000
174,time_received,11:00:01.3840
174,bids_change,"[['0.06', '223966.7', '182']]"
174,timestamp,11:00:01.344000
175,time_received,11:00:01.3842
175,bids_change,"[['0.05', '797758', '183']]"
175,timestamp,11:00:01.344000
176,time_received,11:00:01.3842
176,bids_change,"[['0.05', '787758', '185'], ['0.07', '35000', '184']]"
176,timestamp,11:00:01.344000
177,time_received,11:00:01.3843
177,bids_change,"[['0.07', '28000', '186']]"
177,timestamp,11:00:01.344000
178,time_received,11:00:01.3843
178,bids_change,"[['0.06', '215666.7', '187']]"
178,timestamp,11:00:01.344000
179,time_received,11:00:01.3844
179,bids_change,"[['0.07', '21000', '188']]"
179,timestamp,11:00:01.344000
180,time_received,11:00:01.3844
180,bids_change,"[['0.07', '14000', '189']]"
180,timestamp,11:00:01.344000
181,time_received,11:00:01.3847
181,bids_change,"[['0.065', '45000', '190']]"
181,timestamp,11:00:01.344000
182,time_received,11:00:01.3847
182,bids_change,"[['0.05', '767758', '193'], ['0.065', '37500', '192']]"
182,timestamp,11:00:01.344000
183,time_received,11:00:01.3848
183,bids_change,"[['0.05', '757758', '194']]"
183,timestamp,11:00:01.344000
184,time_received,11:00:01.3848
184,bids_change,"[['0.05', '747758', '195']]"
184,timestamp,11:00:01.344000
185,time_received,11:00:01.3848
185,bids_change,"[['0.05', '737758', '196'], ['0.065', '30000', '197']]"
185,timestamp,11:00:01.344000
186,time_received,11:00:01.3848
186,bids_change,"[['0.06', '207366.7', '198']]"
186,timestamp,11:00:01.344000
187,time_received,11:00:01.3849
187,bids_change,"[['0.05', '727758', '201'], ['0.065', '15000', '200']]"
187,timestamp,11:00:01.344000
188,time_received,11:00:01.3849
188,bids_change,"[['0.07', '7000', '202']]"
188,timestamp,11:00:01.344000
189,time_received,11:00:01.3849
189,bids_change,"[['0.07', '0', '203']]"
189,timestamp,11:00:01.344000
190,time_received,11:00:01.3852
190,bids_change,"[['0.065', '7500', '204']]"
190,timestamp,11:00:01.347000
191,time_received,11:00:01.3853
191,bids_change,"[['0.06', '199066.7', '205']]"
191,timestamp,11:00:01.347000
192,time_received,11:00:01.3931
192,bids_change,"[['0.05', '717758', '206']]"
192,timestamp,11:00:01.355000
193,time_received,11:00:01.4062
193,bids_change,"[['0.05', '707758', '207']]"
193,timestamp,11:00:01.367000
194,time_received,11:00:01.4453
194,bids_change,"[['0.0065', '84615.3', '209'], ['0.06', '183400', '208']]"
194,timestamp,11:00:01.406000
195,time_received,11:00:01.8270
195,bids_change,"[['0.1', '278383', '210']]"
195,timestamp,11:00:01.789000
196,time_received,11:00:01.8620
196,bids_change,"[['0.1', '262384', '211']]"
196,timestamp,11:00:01.824000
197,time_received,11:00:01.9122
197,bids_change,"[['0.1', '240385', '212']]"
197,timestamp,11:00:01.850000
198,time_received,11:00:02.1086
198,bids_change,"[['0.08', '0', '213']]"
198,timestamp,11:00:02.070000
199,time_received,11:00:02.1934
199,bids_change,"[['0.05', '697758', '214']]"
199,timestamp,11:00:02.155000
200,time_received,11:00:02.2979
200,bids_change,"[['0.06', '175100', '215']]"
200,timestamp,11:00:02.259000
201,time_received,11:00:02.3031
201,bids_change,"[['0.05', '687758', '216']]"
201,timestamp,11:00:02.265000
202,time_received,11:00:02.3222
202,bids_change,"[['0.065', '0', '217']]"
202,timestamp,11:00:02.283000
203,time_received,11:00:02.5416
203,bids_change,"[['0.12', '0', '218']]"
203,timestamp,11:00:02.503000
204,time_received,11:00:02.5663
204,bids_change,"[['0.09', '0', '219']]"
204,timestamp,11:00:02.527000
205,time_received,11:00:02.6229
205,bids_change,"[['0.044', '100', '220']]"
205,timestamp,11:00:02.584000
206,time_received,11:00:02.8287
206,bids_change,"[['0.1', '220585', '221']]"
206,timestamp,11:00:02.790000
207,time_received,11:00:03.3159
207,bids_change,"[['0.06', '158600', '222']]"
207,timestamp,11:00:03.278000
208,time_received,11:00:03.3237
208,bids_change,"[['0.06', '142100', '223']]"
208,timestamp,11:00:03.285000
209,time_received,11:00:03.3267
209,bids_change,"[['0.06', '125600', '224']]"
209,timestamp,11:00:03.287000
210,time_received,11:00:03.3268
210,bids_change,"[['0.1', '190586', '225']]"
210,timestamp,11:00:03.288000
211,time_received,11:00:03.3393
211,bids_change,"[['0.06', '109100', '226']]"
211,timestamp,11:00:03.300000
212,time_received,11:00:03.3463
212,bids_change,"[['0.06', '92600', '227']]"
212,timestamp,11:00:03.308000
213,time_received,11:00:03.3487
213,bids_change,"[['0.06', '76100', '228']]"
213,timestamp,11:00:03.311000
214,time_received,11:00:03.3564
