     ,asks                                                                                                            ,bids                                                                                                                ,timestamp     ,time_received
  67 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60006', '50.3'], ['0.60005', '62.5'], ['0.6', '111.5'], ['0.12', '416.6']]"               ,1732705212499 ,11:00:12.5359
  68 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60006', '150.9'], ['0.6', '111.5'], ['0.132', '378.7'], ['0.12', '416.6']]"               ,1732705212601 ,11:00:12.6382
  69 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60006', '150.9'], ['0.6', '111.5'], ['0.132', '378.7'], ['0.123', '406.5']]"              ,1732705212813 ,11:00:12.8510
  70 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60006', '150.9'], ['0.6', '111.5'], ['0.144', '347.2'], ['0.132', '378.7']]"              ,1732705213556 ,11:00:13.5929
  71 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60007', '150.9'], ['0.6', '111.5'], ['0.144', '347.2'], ['0.132', '378.7']]"              ,1732705213657 ,11:00:13.6944
  72 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60007', '150.9'], ['0.6', '111.5'], ['0.147', '340.1'], ['0.144', '347.2']]"              ,1732705213762 ,11:00:13.7988
  73 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60007', '150.9'], ['0.6', '111.5'], ['0.153', '326.7'], ['0.147', '340.1']]"              ,1732705213871 ,11:00:13.9079
  74 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60007', '150.9'], ['0.6', '111.5'], ['0.153', '326.7'], ['0.147', '340.1']]"              ,1732705214090 ,11:00:14.1268
  75 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60008', '150.9'], ['0.6', '111.5'], ['0.153', '326.7'], ['0.147', '340.1']]"              ,1732705214191 ,11:00:14.2284
  76 ,"[['1', '9560.8']]"                                                                                             ,"[['0.98901', '65.7'], ['0.9888', '10.1'], ['0.60008', '150.9'], ['0.6', '111.5'], ['0.153', '326.7']]"             ,1732705214291 ,11:00:14.3276
  77 ,"[['1', '9560.8']]"                                                                                             ,"[['0.98901', '65.7'], ['0.9888', '10.1'], ['0.60008', '150.9'], ['0.6', '111.5'], ['0.32', '1562.5']]"             ,1732705214404 ,11:00:14.4405
  78 ,"[['1', '9560.8']]"                                                                                             ,"[['0.98901', '65.7'], ['0.9888', '10.1'], ['0.60008', '150.9'], ['0.6', '2502.6'], ['0.32', '1562.5']]"            ,1732705214618 ,11:00:14.6553
  79 ,"[['1', '9560.8']]"                                                                                             ,"[['0.98901', '65.7'], ['0.9888', '10.1'], ['0.60009', '150.9'], ['0.6', '2502.6'], ['0.32', '1562.5']]"            ,1732705214724 ,11:00:14.7611
  80 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60009', '150.9'], ['0.6', '2401.1'], ['0.32', '1562.5'], ['0.153', '326.7']]"             ,1732705214826 ,11:00:14.8624
  81 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60009', '150.9'], ['0.6', '2401.1'], ['0.32', '1562.5'], ['0.153', '326.7']]"             ,1732705214945 ,11:00:14.9822
  82 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60009', '150.9'], ['0.6', '2401.1'], ['0.32', '1562.5'], ['0.153', '326.7']]"             ,1732705215249 ,11:00:15.2865
  83 ,"[['1', '9560.8']]"                                                                                             ,"[['0.6001', '150.9'], ['0.6', '2401.1'], ['0.32', '1562.5'], ['0.162', '308.6'], ['0.153', '326.7']]"              ,1732705215359 ,11:00:15.3964
  84 ,"[['1', '9560.8']]"                                                                                             ,"[['0.6001', '150.9'], ['0.6', '2401.1'], ['0.32', '1562.5'], ['0.162', '308.6'], ['0.153', '326.7']]"              ,1732705215464 ,11:00:15.5010
  85 ,"[['1', '9261.4']]"                                                                                             ,"[['0.6001', '150.9'], ['0.6', '2401.1'], ['0.32', '1562.5'], ['0.162', '308.6'], ['0.153', '326.7']]"              ,1732705215565 ,11:00:15.6021
  86 ,"[['1', '9261.4']]"                                                                                             ,"[['0.6001', '150.9'], ['0.6', '2401.1'], ['0.32', '1562.5'], ['0.162', '308.6'], ['0.153', '326.7']]"              ,1732705215671 ,11:00:15.7075
